"ID","Opportunity Name","AccountId","Amount","Close Date","Stage","Product","Sales Agent","Opportunity_ID__c","STATUS"
"006i80000007P2SAAU","Finhigh - GTX Plus Basic","001i8000001AkfUAAS","903.0","2017-03-17","Closed Won","GTX Plus Basic","Marty Freudenburg","IU8V0BZK","Item Created"
"006i80000007P2TAAU","Finjob - GTX Plus Basic","001i8000001AkfVAAS","1180.0","2017-03-13","Closed Won","GTX Plus Basic","Maureen Marcano","XY42936P","Item Created"
"006i80000007P2UAAU","Ron-tech - GTX Basic","001i8000001Akg3AAC","487.0","2017-03-05","Closed Won","GTX Basic","Niesha Huffines","XRN54MBM","Item Created"
"006i80000007P2VAAU","Stanredtax - MG Advanced","001i8000001AkgAAAS","3180.0","2017-03-04","Closed Won","MG Advanced","Lajuana Vencill","2V848WZD","Item Created"
"006i80000007P2WAAU","Funholding - GTX Pro","001i8000001AkfWAAS","0.0","2017-03-17","Closed Lost","GTX Pro","Darcel Schlecht","ONYNTUCG","Item Created"
"006i80000007P2XAAU","Gogozoom - MG Advanced","001i8000001AkfbAAC","3563.0","2017-03-18","Closed Won","MG Advanced","Darcel Schlecht","HIOHX80Y","Item Created"
"006i80000007P2YAAU","Opentech - GTX Pro","001i8000001AkfxAAC","4704.0","2017-03-23","Closed Won","GTX Pro","Boris Faz","LPKT07PV","Item Created"
"006i80000007P2ZAAU","Silis - GTX Plus Pro","001i8000001Akg7AAC","5585.0","2017-03-14","Closed Won","GTX Plus Pro","Donn Cantrell","WPB2SLIG","Item Created"
"006i80000007P2aAAE","Zoomit - GTK 500","001i8000001AkgRAAS","25897.0","2017-03-09","Closed Won","GTK 500","Elease Gluck","XUSUEAV7","Item Created"
"006i80000007P2bAAE","Goodsilron - GTX Plus Basic","001i8000001AkfdAAC","1207.0","2017-03-03","Closed Won","GTX Plus Basic","Kami Bicknell","3TYPII47","Item Created"
"006i80000007P2cAAE","Cancity - MG Advanced","001i8000001ALqYAAW","0.0","2017-03-08","Closed Lost","MG Advanced","Lajuana Vencill","7WAX8Z8O","Item Created"
"006i80000007P2dAAE","Rangreen - GTX Basic","001i8000001Akg1AAC","559.0","2017-03-04","Closed Won","GTX Basic","Lajuana Vencill","MYDUMR3R","Item Created"
"006i80000007P2eAAE","Green-Plus - GTX Basic","001i8000001AkfeAAC","550.0","2017-02-18","Negotiation/Review","GTX Basic","Maureen Marcano","0DRC1U9Q","Item Created"
"006i80000007P2fAAE","dambase - GTX Plus Basic","001i8000001AkfMAAS","1033.0","2017-03-09","Closed Won","GTX Plus Basic","Niesha Huffines","37JFKD4I","Item Created"
"006i80000007P2gAAE","Kan-code - GTX Basic","001i8000001AkfmAAC","462.0","2017-03-21","Closed Won","GTX Basic","Donn Cantrell","25YKPHX8","Item Created"
"006i80000007P2hAAE","Nam-zim - MG Advanced","001i8000001AkfuAAC","0.0","2017-03-01","Closed Lost","MG Advanced","Hayden Neloms","BXXMA7F3","Item Created"
"006i80000007P2iAAE","Y-corporation - GTX Pro","001i8000001AkgNAAS","5539.0","2017-03-14","Closed Won","GTX Pro","Kary Hendrixson","GIUUTBXM","Item Created"
"006i80000007P2jAAE","Ron-tech - MG Advanced","001i8000001Akg3AAC","3573.0","2017-03-15","Closed Won","MG Advanced","Lajuana Vencill","MFX2LR1Q","Item Created"
"006i80000007P2kAAE","Conecom - GTX Pro","001i8000001AkfKAAS","4926.0","2017-03-01","Closed Won","GTX Pro","Marty Freudenburg","DUHE9FLY","Item Created"
"006i80000007P2lAAE","Sunnamplex - GTX Plus Basic","001i8000001AkgEAAS","0.0","2017-03-17","Closed Lost","GTX Plus Basic","Zane Levy","96BSG7R1","Item Created"
"006i80000007P2mAAE","Bioplex - MG Special","001i8000001ALqUAAW","62.0","2017-03-04","Closed Won","MG Special","Corliss Cosme","7FQMSWIX","Item Created"
"006i80000007P2nAAE","Gogozoom - GTX Pro","001i8000001AkfbAAC","4359.0","2017-03-14","Closed Won","GTX Pro","Darcel Schlecht","C20AVXN7","Item Created"
"006i80000007P2oAAE","Plusstrip - GTX Basic","001i8000001AkfzAAC","566.0","2017-03-31","Closed Won","GTX Basic","Kami Bicknell","GS1QVWCR","Item Created"
"006i80000007P2pAAE","Toughzap - GTX Basic","001i8000001AkgGAAS","508.0","2017-03-03","Closed Won","GTX Basic","Marty Freudenburg","ZWH8FXY3","Item Created"
"006i80000007P2qAAE","Vehement Capital Partners - MG Advanced","001i8000001AkgJAAS","0.0","2017-03-20","Closed Lost","MG Advanced","Rosie Papadopoulos","2U94Y3Q9","Item Created"
"006i80000007P2rAAE","Codehow - MG Special","001i8000001ALqaAAG","51.0","2017-03-11","Closed Won","MG Special","Versie Hillebrand","AAR79NOO","Item Created"
"006i80000007P2sAAE","Dalttechnology - GTX Pro","001i8000001AkfLAAS","4899.0","2017-03-05","Closed Won","GTX Pro","Vicki Laflamme","B6B0PNR2","Item Created"
"006i80000007P2tAAE","Cheers - GTX Basic","001i8000001ALqZAAW","550.0","2017-02-21","Negotiation/Review","GTX Basic","Corliss Cosme","M7I5O9YU","Item Created"
"006i80000007P2uAAE","Ontomedia - GTX Plus Pro","001i8000001AkfwAAC","5790.0","2017-03-03","Closed Won","GTX Plus Pro","Corliss Cosme","LXZA2OSZ","Item Created"
"006i80000007P2vAAE","Kinnamplus - MG Special","001i8000001AkfnAAC","0.0","2017-03-30","Closed Lost","MG Special","Donn Cantrell","N0ONCYVZ","Item Created"
"006i80000007P2wAAE","Codehow - GTX Pro","001i8000001ALqaAAG","4438.0","2017-03-03","Closed Won","GTX Pro","Gladys Colclough","513DPFX5","Item Created"
"006i80000007P2xAAE","Finhigh - MG Advanced","001i8000001AkfUAAS","2972.0","2017-03-17","Closed Won","MG Advanced","Gladys Colclough","RU023K5W","Item Created"
"006i80000007P2yAAE","Lexiqvolax - MG Special","001i8000001AkfrAAC","55.0","2017-02-21","Negotiation/Review","MG Special","Markita Hansen","VDIU10RV","Item Created"
"006i80000007P2zAAE","Y-corporation - GTX Basic","001i8000001AkgNAAS","523.0","2017-03-01","Closed Won","GTX Basic","Markita Hansen","BZCBQ514","Item Created"
"006i80000007P30AAE","Statholdings - MG Advanced","001i8000001AkgBAAS","3647.0","2017-03-25","Closed Won","MG Advanced","Anna Snelling","HEE6P0QH","Item Created"
"006i80000007P31AAE","Umbrella Corporation - MG Advanced","001i8000001AkgIAAS","4200.0","2017-03-01","Closed Won","MG Advanced","Cassey Cress","L8CHRJ2B","Item Created"
"006i80000007P32AAE","J-Texon - GTX Plus Basic","001i8000001AkflAAC","1096.0","2017-02-22","Negotiation/Review","GTX Plus Basic","Daniell Hammack","579LZ3F9","Item Created"
"006i80000007P33AAE","Bubba Gump - GTX Plus Basic","001i8000001ALqXAAW","1096.0","2017-02-22","Negotiation/Review","GTX Plus Basic","Kami Bicknell","SU8JNMP4","Item Created"
"006i80000007P34AAE","Faxquote - GTX Plus Basic","001i8000001AkfTAAS","1059.0","2017-03-28","Closed Won","GTX Plus Basic","Kami Bicknell","V2X2KMUR","Item Created"
"006i80000007P35AAE","Codehow - GTX Plus Basic","001i8000001ALqaAAG","0.0","2017-03-05","Closed Lost","GTX Plus Basic","Marty Freudenburg","AJIPJP75","Item Created"
"006i80000007P36AAE","Dontechi - MG Special","001i8000001AkfQAAS","57.0","2017-03-02","Closed Won","MG Special","Versie Hillebrand","NYVA2G6U","Item Created"
"006i80000007P37AAE","Konex - MG Advanced","001i8000001AkfoAAC","3671.0","2017-03-27","Closed Won","MG Advanced","Vicki Laflamme","FF45BXTL","Item Created"
"006i80000007P38AAE","Treequote - MG Special","001i8000001AkgHAAS","58.0","2017-03-01","Closed Won","MG Special","Anna Snelling","TTA9LYBS","Item Created"
"006i80000007P39AAE","Treequote - MG Advanced","001i8000001AkgHAAS","3956.0","2017-03-06","Closed Won","MG Advanced","Cecily Lampkin","PAGZQH8L","Item Created"
"006i80000007P3AAAU","Betasoloin - GTX Plus Pro","001i8000001ALqRAAW","5964.0","2017-03-01","Closed Won","GTX Plus Pro","Corliss Cosme","J7YF6DS7","Item Created"
"006i80000007P3BAAU","Betasoloin - GTX Pro","001i8000001ALqRAAW","4570.0","2017-03-06","Closed Won","GTX Pro","Corliss Cosme","S5IXY4Z9","Item Created"
"006i80000007P3CAAU","Domzoom - MG Special","001i8000001AkfNAAS","49.0","2017-03-27","Closed Won","MG Special","Darcel Schlecht","JQBJMETQ","Item Created"
"006i80000007P3DAAU","Donquadtech - MG Special","001i8000001AkfPAAS","65.0","2017-03-06","Closed Won","MG Special","Violet Mclelland","0LVWSWEW","Item Created"
"006i80000007P3EAAU","Domzoom - MG Special","001i8000001AkfNAAS","0.0","2017-03-27","Closed Lost","MG Special","Anna Snelling","K53BC1T9","Item Created"
"006i80000007P3FAAU","Finhigh - GTX Pro","001i8000001AkfUAAS","4739.0","2017-03-08","Closed Won","GTX Pro","Darcel Schlecht","D40N5I9Y","Item Created"
"006i80000007P3GAAU","Globex Corporation - GTX Plus Basic","001i8000001AkfaAAC","1080.0","2017-03-21","Closed Won","GTX Plus Basic","Niesha Huffines","051QTX8Z","Item Created"
"006i80000007P3HAAU","Plussunin - MG Special","001i8000001Akg0AAC","57.0","2017-03-12","Closed Won","MG Special","Reed Clapper","5D2XH04S","Item Created"
"006i80000007P3IAAU","Konex - GTX Basic","001i8000001AkfoAAC","469.0","2017-03-16","Closed Won","GTX Basic","Garret Kinder","V9E582SK","Item Created"
"006i80000007P3JAAU","Condax - GTX Basic","001i8000001AkfJAAS","532.0","2017-03-03","Closed Won","GTX Basic","Kary Hendrixson","UK0LEZRJ","Item Created"
"006i80000007P3KAAU","Opentech - MG Advanced","001i8000001AkfxAAC","3393.0","2017-02-25","Negotiation/Review","MG Advanced","Markita Hansen","PFFHM7HR","Item Created"
"006i80000007P3LAAU","Konex - GTX Basic","001i8000001AkfoAAC","538.0","2017-03-26","Closed Won","GTX Basic","Rosalina Dieter","IT10CFQH","Item Created"
"006i80000007P3MAAU","Massive Dynamic - GTX Pro","001i8000001AkfsAAC","4829.0","2017-03-21","Closed Won","GTX Pro","Rosie Papadopoulos","8VKD2CCH","Item Created"
"006i80000007P3NAAU","Doncon - GTX Plus Pro","001i8000001AkfOAAS","5370.0","2017-03-11","Closed Won","GTX Plus Pro","Zane Levy","2XQAKBXH","Item Created"
"006i80000007P3OAAU","Hatfan - GTX Plus Pro","001i8000001AkfgAAC","6499.0","2017-03-21","Closed Won","GTX Plus Pro","Zane Levy","7G7YLGJO","Item Created"
"006i80000007P3PAAU","Genco Pura Olive Oil Company - GTX Plus Basic","001i8000001AkfZAAS","1161.0","2017-03-06","Closed Won","GTX Plus Basic","Darcel Schlecht","GCA97W27","Item Created"
"006i80000007P3QAAU","Scotfind - GTX Basic","001i8000001Akg5AAC","576.0","2017-03-26","Closed Won","GTX Basic","Kary Hendrixson","K8FUZHOG","Item Created"
"006i80000007P3RAAU","Hatfan - GTX Plus Basic","001i8000001AkfgAAC","979.0","2017-03-19","Closed Won","GTX Plus Basic","Maureen Marcano","5WJZMULK","Item Created"
"006i80000007P3SAAU","Stanredtax - MG Special","001i8000001AkgAAAS","43.0","2017-03-07","Closed Won","MG Special","Versie Hillebrand","ZPYD4T9W","Item Created"
"006i80000007P3TAAU","Scottech - MG Special","001i8000001Akg6AAC","57.0","2017-03-07","Closed Won","MG Special","Gladys Colclough","KE9ZEDS8","Item Created"
"006i80000007P3UAAU","Ron-tech - MG Special","001i8000001Akg3AAC","0.0","2017-03-28","Closed Lost","MG Special","Lajuana Vencill","7KK0HQ4C","Item Created"
"006i80000007P3VAAU","Funholding - GTX Plus Basic","001i8000001AkfWAAS","948.0","2017-03-12","Closed Won","GTX Plus Basic","Lajuana Vencill","FP7014Z0","Item Created"
"006i80000007P3WAAU","Plussunin - MG Advanced","001i8000001Akg0AAC","3012.0","2017-03-10","Closed Won","MG Advanced","Wilburn Farren","N4HFHDMW","Item Created"
"006i80000007P3XAAU","Zotware - MG Advanced","001i8000001AkgSAAS","3665.0","2017-03-15","Closed Won","MG Advanced","Cassey Cress","2HFLKREC","Item Created"
"006i80000007P3YAAU","Gekko & Co - GTX Basic","001i8000001AkfYAAS","564.0","2017-03-24","Closed Won","GTX Basic","Violet Mclelland","7JVTTVCO","Item Created"
"006i80000007P3ZAAU","dambase - GTX Plus Basic","001i8000001AkfMAAS","0.0","2017-03-06","Closed Lost","GTX Plus Basic","Anna Snelling","3X13866U","Item Created"
"006i80000007P3aAAE","Initech - MG Advanced","001i8000001AkfhAAC","3463.0","2017-03-22","Closed Won","MG Advanced","Cassey Cress","7LE19SYE","Item Created"
"006i80000007P3bAAE","Gekko & Co - GTX Basic","001i8000001AkfYAAS","513.0","2017-03-26","Closed Won","GTX Basic","Corliss Cosme","J5V2M7Y1","Item Created"
"006i80000007P3cAAE","Konex - GTX Basic","001i8000001AkfoAAC","590.0","2017-03-28","Closed Won","GTX Basic","Corliss Cosme","41MURAI5","Item Created"
"006i80000007P3dAAE","Dontechi - GTX Pro","001i8000001AkfQAAS","4511.0","2017-03-30","Closed Won","GTX Pro","Darcel Schlecht","QHI8WRIA","Item Created"
"006i80000007P3eAAE","Finhigh - MG Advanced","001i8000001AkfUAAS","0.0","2017-03-02","Closed Lost","MG Advanced","Lajuana Vencill","AJXAXV4W","Item Created"
"006i80000007P3fAAE","Cancity - GTX Basic","001i8000001ALqYAAW","546.0","2017-03-26","Closed Won","GTX Basic","Niesha Huffines","VPDXX5PJ","Item Created"
"006i80000007P3gAAE","Y-corporation - MG Special","001i8000001AkgNAAS","46.0","2017-03-05","Closed Won","MG Special","Vicki Laflamme","PZB9NUK8","Item Created"
"006i80000007P3hAAE","Ron-tech - GTX Pro","001i8000001Akg3AAC","4891.0","2017-03-09","Closed Won","GTX Pro","Darcel Schlecht","A0ANOYPF","Item Created"
"006i80000007P3iAAE","Golddex - GTX Plus Basic","001i8000001AkfcAAC","1040.0","2017-03-03","Closed Won","GTX Plus Basic","Hayden Neloms","0P4AAPYX","Item Created"
"006i80000007P3jAAE","Sonron - GTX Plus Basic","001i8000001Akg9AAC","1108.0","2017-03-04","Closed Won","GTX Plus Basic","Hayden Neloms","O6T5WC3W","Item Created"
"006i80000007P3kAAE","Nam-zim - MG Special","001i8000001AkfuAAC","59.0","2017-03-04","Closed Won","MG Special","Hayden Neloms","0NO04P6C","Item Created"
"006i80000007P3lAAE","Statholdings - GTX Pro","001i8000001AkgBAAS","5406.0","2017-03-30","Closed Won","GTX Pro","Jonathan Berthelot","22OFSXBT","Item Created"
"006i80000007P3mAAE","Cheers - GTX Basic","001i8000001ALqZAAW","515.0","2017-03-20","Closed Won","GTX Basic","Kary Hendrixson","MRXZTMM6","Item Created"
"006i80000007P3nAAE","Treequote - GTX Basic","001i8000001AkgHAAS","583.0","2017-03-06","Closed Won","GTX Basic","Moses Frase","LGI8QEC2","Item Created"
"006i80000007P3oAAE","Funholding - MG Special","001i8000001AkfWAAS","54.0","2017-03-14","Closed Won","MG Special","Versie Hillebrand","6KZ0NCFX","Item Created"
"006i80000007P3pAAE","Plusstrip - MG Special","001i8000001AkfzAAC","60.0","2017-03-27","Closed Won","MG Special","Vicki Laflamme","3SF8O9S6","Item Created"
"006i80000007P3qAAE","Dontechi - GTX Basic","001i8000001AkfQAAS","0.0","2017-03-12","Closed Lost","GTX Basic","Darcel Schlecht","XK668R7C","Item Created"
"006i80000007P3rAAE","Funholding - GTX Pro","001i8000001AkfWAAS","0.0","2017-03-19","Closed Lost","GTX Pro","Darcel Schlecht","TZCAQWL3","Item Created"
"006i80000007P3sAAE","Globex Corporation - GTX Basic","001i8000001AkfaAAC","516.0","2017-03-23","Closed Won","GTX Basic","Darcel Schlecht","BADC6A9H","Item Created"
"006i80000007P3tAAE","Rangreen - GTX Pro","001i8000001Akg1AAC","4829.0","2017-03-22","Closed Won","GTX Pro","Darcel Schlecht","B8E0UUZR","Item Created"
"006i80000007P3uAAE","Dontechi - GTX Plus Basic","001i8000001AkfQAAS","0.0","2017-03-17","Closed Lost","GTX Plus Basic","Moses Frase","I043RXJV","Item Created"
"006i80000007P3vAAE","Donquadtech - GTX Plus Basic","001i8000001AkfPAAS","950.0","2017-03-02","Closed Won","GTX Plus Basic","Reed Clapper","MWWB44CC","Item Created"
"006i80000007P3wAAE","Xx-holding - GTX Plus Basic","001i8000001AkgLAAS","0.0","2017-03-09","Closed Lost","GTX Plus Basic","Vicki Laflamme","HBTINPDG","Item Created"
"006i80000007P3xAAE","Initech - GTX Basic","001i8000001AkfhAAC","513.0","2017-03-20","Closed Won","GTX Basic","Corliss Cosme","DZ3KHZSX","Item Created"
"006i80000007P3yAAE","Condax - GTX Pro","001i8000001AkfJAAS","0.0","2017-03-09","Closed Lost","GTX Pro","Darcel Schlecht","3W1K7X5F","Item Created"
"006i80000007P3zAAE","Ron-tech - GTX Plus Pro","001i8000001Akg3AAC","5522.0","2017-03-12","Closed Won","GTX Plus Pro","Darcel Schlecht","45A57X68","Item Created"
"006i80000007P40AAE","Cancity - MG Special","001i8000001ALqYAAW","56.0","2017-03-09","Closed Won","MG Special","Gladys Colclough","9SLYC4TR","Item Created"
"006i80000007P41AAE","Doncon - GTX Pro","001i8000001AkfOAAS","5673.0","2017-03-08","Closed Won","GTX Pro","James Ascencio","JLWKWQYC","Item Created"
"006i80000007P42AAE","Xx-holding - GTX Basic","001i8000001AkgLAAS","598.0","2017-03-10","Closed Won","GTX Basic","Kami Bicknell","7QC6FOKW","Item Created"
"006i80000007P43AAE","Rangreen - GTX Plus Pro","001i8000001Akg1AAC","5787.0","2017-03-16","Closed Won","GTX Plus Pro","Marty Freudenburg","XA184CMW","Item Created"
"006i80000007P44AAE","Singletechno - GTX Plus Basic","001i8000001Akg8AAC","1070.0","2017-03-08","Closed Won","GTX Plus Basic","Maureen Marcano","S0N7BYU3","Item Created"
"006i80000007P45AAE","Donquadtech - MG Advanced","001i8000001AkfPAAS","3677.0","2017-03-14","Closed Won","MG Advanced","Boris Faz","6WOMHAJM","Item Created"
"006i80000007P46AAE","Ontomedia - GTX Plus Pro","001i8000001AkfwAAC","5425.0","2017-03-30","Closed Won","GTX Plus Pro","Cassey Cress","G1QGATKV","Item Created"
"006i80000007P47AAE","Yearin - MG Advanced","001i8000001AkgOAAS","3415.0","2017-03-23","Closed Won","MG Advanced","Donn Cantrell","6XFVQI32","Item Created"
"006i80000007P48AAE","Lexiqvolax - GTX Plus Basic","001i8000001AkfrAAC","891.0","2017-03-21","Closed Won","GTX Plus Basic","Maureen Marcano","OGD4MDJ9","Item Created"
"006i80000007P49AAE","Codehow - GTX Basic","001i8000001ALqaAAG","609.0","2017-03-12","Closed Won","GTX Basic","Lajuana Vencill","4NGBUZWJ","Item Created"
"006i80000007P4AAAU","Plusstrip - MG Special","001i8000001AkfzAAC","54.0","2017-03-16","Closed Won","MG Special","Markita Hansen","EFG5DGV5","Item Created"
"006i80000007P4BAAU","Labdrill - GTX Plus Basic","001i8000001AkfqAAC","1049.0","2017-03-09","Closed Won","GTX Plus Basic","Zane Levy","82MM4H33","Item Created"
"006i80000007P4CAAU","Gekko & Co - GTX Plus Basic","001i8000001AkfYAAS","1152.0","2017-03-07","Closed Won","GTX Plus Basic","Cassey Cress","14PM641K","Item Created"
"006i80000007P4DAAU","Plussunin - MG Special","001i8000001Akg0AAC","0.0","2017-03-20","Closed Lost","MG Special","Daniell Hammack","DSBGHOPN","Item Created"
