Opportunity Name,AccountId,Amount,Close Date,Stage,Product,Sales Agent,Opportunity_ID__c
Konex - GTX Basic,001i8000001AkfoAAC,538.0,2017-03-26,Closed Won,GTX Basic,Rosalina Dieter,IT10CFQH
Massive Dynamic - GTX Pro,001i8000001AkfsAAC,4829.0,2017-03-21,Closed Won,GTX Pro,Rosie Papadopoulos,8VKD2CCH
Doncon - GTX Plus Pro,001i8000001AkfOAAS,5370.0,2017-03-11,Closed Won,GTX Plus Pro,Zane Levy,2XQAKBXH
Hatfan - GTX Plus Pro,001i8000001AkfgAAC,6499.0,2017-03-21,Closed Won,GTX Plus Pro,Zane Levy,7G7YLGJO
Genco Pura Olive Oil Company - GTX Plus Basic,001i8000001AkfZAAS,1161.0,2017-03-06,Closed Won,GTX Plus Basic,Darcel Schlecht,GCA97W27
Scotfind - GTX Basic,001i8000001Akg5AAC,576.0,2017-03-26,Closed Won,GTX Basic,Kary Hendrixson,K8FUZHOG
Hatfan - GTX Plus Basic,001i8000001AkfgAAC,979.0,2017-03-19,Closed Won,GTX Plus Basic,Maureen Marcano,5WJZMULK
Stanredtax - MG Special,001i8000001AkgAAAS,43.0,2017-03-07,Closed Won,MG Special,Versie Hillebrand,ZPYD4T9W
Scottech - MG Special,001i8000001Akg6AAC,57.0,2017-03-07,Closed Won,MG Special,Gladys Colclough,KE9ZEDS8
Ron-tech - MG Special,001i8000001Akg3AAC,0.0,2017-03-28,Closed Lost,MG Special,Lajuana Vencill,7KK0HQ4C
Funholding - GTX Plus Basic,001i8000001AkfWAAS,948.0,2017-03-12,Closed Won,GTX Plus Basic,Lajuana Vencill,FP7014Z0
Plussunin - MG Advanced,001i8000001Akg0AAC,3012.0,2017-03-10,Closed Won,MG Advanced,Wilburn Farren,N4HFHDMW
Zotware - MG Advanced,001i8000001AkgSAAS,3665.0,2017-03-15,Closed Won,MG Advanced,Cassey Cress,2HFLKREC
Gekko & Co - GTX Basic,001i8000001AkfYAAS,564.0,2017-03-24,Closed Won,GTX Basic,Violet Mclelland,7JVTTVCO
dambase - GTX Plus Basic,001i8000001AkfMAAS,0.0,2017-03-06,Closed Lost,GTX Plus Basic,Anna Snelling,3X13866U
Initech - MG Advanced,001i8000001AkfhAAC,3463.0,2017-03-22,Closed Won,MG Advanced,Cassey Cress,7LE19SYE
Gekko & Co - GTX Basic,001i8000001AkfYAAS,513.0,2017-03-26,Closed Won,GTX Basic,Corliss Cosme,J5V2M7Y1
Konex - GTX Basic,001i8000001AkfoAAC,590.0,2017-03-28,Closed Won,GTX Basic,Corliss Cosme,41MURAI5
Dontechi - GTX Pro,001i8000001AkfQAAS,4511.0,2017-03-30,Closed Won,GTX Pro,Darcel Schlecht,QHI8WRIA
Finhigh - MG Advanced,001i8000001AkfUAAS,0.0,2017-03-02,Closed Lost,MG Advanced,Lajuana Vencill,AJXAXV4W
Cancity - GTX Basic,001i8000001ALqYAAW,546.0,2017-03-26,Closed Won,GTX Basic,Niesha Huffines,VPDXX5PJ
Y-corporation - MG Special,001i8000001AkgNAAS,46.0,2017-03-05,Closed Won,MG Special,Vicki Laflamme,PZB9NUK8
Ron-tech - GTX Pro,001i8000001Akg3AAC,4891.0,2017-03-09,Closed Won,GTX Pro,Darcel Schlecht,A0ANOYPF
Golddex - GTX Plus Basic,001i8000001AkfcAAC,1040.0,2017-03-03,Closed Won,GTX Plus Basic,Hayden Neloms,0P4AAPYX
Sonron - GTX Plus Basic,001i8000001Akg9AAC,1108.0,2017-03-04,Closed Won,GTX Plus Basic,Hayden Neloms,O6T5WC3W
Nam-zim - MG Special,001i8000001AkfuAAC,59.0,2017-03-04,Closed Won,MG Special,Hayden Neloms,0NO04P6C
Statholdings - GTX Pro,001i8000001AkgBAAS,5406.0,2017-03-30,Closed Won,GTX Pro,Jonathan Berthelot,22OFSXBT
Cheers - GTX Basic,001i8000001ALqZAAW,515.0,2017-03-20,Closed Won,GTX Basic,Kary Hendrixson,MRXZTMM6
Treequote - GTX Basic,001i8000001AkgHAAS,583.0,2017-03-06,Closed Won,GTX Basic,Moses Frase,LGI8QEC2
Funholding - MG Special,001i8000001AkfWAAS,54.0,2017-03-14,Closed Won,MG Special,Versie Hillebrand,6KZ0NCFX
Plusstrip - MG Special,001i8000001AkfzAAC,60.0,2017-03-27,Closed Won,MG Special,Vicki Laflamme,3SF8O9S6
Dontechi - GTX Basic,001i8000001AkfQAAS,0.0,2017-03-12,Closed Lost,GTX Basic,Darcel Schlecht,XK668R7C
Funholding - GTX Pro,001i8000001AkfWAAS,0.0,2017-03-19,Closed Lost,GTX Pro,Darcel Schlecht,TZCAQWL3
Globex Corporation - GTX Basic,001i8000001AkfaAAC,516.0,2017-03-23,Closed Won,GTX Basic,Darcel Schlecht,BADC6A9H
Rangreen - GTX Pro,001i8000001Akg1AAC,4829.0,2017-03-22,Closed Won,GTX Pro,Darcel Schlecht,B8E0UUZR
Dontechi - GTX Plus Basic,001i8000001AkfQAAS,0.0,2017-03-17,Closed Lost,GTX Plus Basic,Moses Frase,I043RXJV
Donquadtech - GTX Plus Basic,001i8000001AkfPAAS,950.0,2017-03-02,Closed Won,GTX Plus Basic,Reed Clapper,MWWB44CC
Xx-holding - GTX Plus Basic,001i8000001AkgLAAS,0.0,2017-03-09,Closed Lost,GTX Plus Basic,Vicki Laflamme,HBTINPDG
Initech - GTX Basic,001i8000001AkfhAAC,513.0,2017-03-20,Closed Won,GTX Basic,Corliss Cosme,DZ3KHZSX
Condax - GTX Pro,001i8000001AkfJAAS,0.0,2017-03-09,Closed Lost,GTX Pro,Darcel Schlecht,3W1K7X5F
Ron-tech - GTX Plus Pro,001i8000001Akg3AAC,5522.0,2017-03-12,Closed Won,GTX Plus Pro,Darcel Schlecht,45A57X68
Cancity - MG Special,001i8000001ALqYAAW,56.0,2017-03-09,Closed Won,MG Special,Gladys Colclough,9SLYC4TR
Doncon - GTX Pro,001i8000001AkfOAAS,5673.0,2017-03-08,Closed Won,GTX Pro,James Ascencio,JLWKWQYC
Xx-holding - GTX Basic,001i8000001AkgLAAS,598.0,2017-03-10,Closed Won,GTX Basic,Kami Bicknell,7QC6FOKW
Rangreen - GTX Plus Pro,001i8000001Akg1AAC,5787.0,2017-03-16,Closed Won,GTX Plus Pro,Marty Freudenburg,XA184CMW
Singletechno - GTX Plus Basic,001i8000001Akg8AAC,1070.0,2017-03-08,Closed Won,GTX Plus Basic,Maureen Marcano,S0N7BYU3
Donquadtech - MG Advanced,001i8000001AkfPAAS,3677.0,2017-03-14,Closed Won,MG Advanced,Boris Faz,6WOMHAJM
Ontomedia - GTX Plus Pro,001i8000001AkfwAAC,5425.0,2017-03-30,Closed Won,GTX Plus Pro,Cassey Cress,G1QGATKV
Yearin - MG Advanced,001i8000001AkgOAAS,3415.0,2017-03-23,Closed Won,MG Advanced,Donn Cantrell,6XFVQI32
Lexiqvolax - GTX Plus Basic,001i8000001AkfrAAC,891.0,2017-03-21,Closed Won,GTX Plus Basic,Maureen Marcano,OGD4MDJ9
Codehow - GTX Basic,001i8000001ALqaAAG,609.0,2017-03-12,Closed Won,GTX Basic,Lajuana Vencill,4NGBUZWJ
Plusstrip - MG Special,001i8000001AkfzAAC,54.0,2017-03-16,Closed Won,MG Special,Markita Hansen,EFG5DGV5
Labdrill - GTX Plus Basic,001i8000001AkfqAAC,1049.0,2017-03-09,Closed Won,GTX Plus Basic,Zane Levy,82MM4H33
Gekko & Co - GTX Plus Basic,001i8000001AkfYAAS,1152.0,2017-03-07,Closed Won,GTX Plus Basic,Cassey Cress,14PM641K
Plussunin - MG Special,001i8000001Akg0AAC,0.0,2017-03-20,Closed Lost,MG Special,Daniell Hammack,DSBGHOPN
Umbrella Corporation - GTX Pro,001i8000001AkgIAAS,4799.0,2017-03-28,Closed Won,GTX Pro,Daniell Hammack,1YSOZLHF
dambase - MG Special,001i8000001AkfMAAS,51.0,2017-03-12,Closed Won,MG Special,Gladys Colclough,E8RP9FRW
J-Texon - MG Advanced,001i8000001AkflAAC,3426.0,2017-03-03,Closed Won,MG Advanced,Hayden Neloms,787IRG9Q
Rangreen - MG Special,001i8000001Akg1AAC,51.0,2017-03-11,Closed Won,MG Special,Jonathan Berthelot,0TUS4NAC
Finjob - GTX Basic,001i8000001AkfVAAS,564.0,2017-03-20,Closed Won,GTX Basic,Kami Bicknell,FAJTQMUM
Isdom - GTX Plus Pro,001i8000001AkfjAAC,5882.0,2017-03-01,Closed Won,GTX Plus Pro,Cecily Lampkin,TWF0J0DF
Stanredtax - GTX Pro,001i8000001AkgAAAS,4821.0,2017-03-08,Negotiation/Review,GTX Pro,Daniell Hammack,ICMXZOVL
Plussunin - GTX Pro,001i8000001Akg0AAC,5059.0,2017-03-20,Closed Won,GTX Pro,Donn Cantrell,UQ14O415
Singletechno - MG Advanced,001i8000001Akg8AAC,3388.0,2017-03-11,Closed Won,MG Advanced,Kami Bicknell,BOJSLNDG
Zoomit - GTX Plus Pro,001i8000001AkgRAAS,5410.0,2017-03-10,Closed Won,GTX Plus Pro,Markita Hansen,DASMR0EK
Zathunicon - GTX Plus Basic,001i8000001AkgPAAS,978.0,2017-03-28,Closed Won,GTX Plus Basic,Reed Clapper,A76M0OOH
Scotfind - MG Special,001i8000001Akg5AAC,54.0,2017-03-26,Closed Won,MG Special,Vicki Laflamme,E1VKE2PH
Betatech - MG Special,001i8000001ALqSAAW,0.0,2017-03-22,Closed Lost,MG Special,Anna Snelling,SKY95DVG
Bubba Gump - GTX Basic,001i8000001ALqXAAW,549.0,2017-03-14,Closed Won,GTX Basic,Cassey Cress,V5OK4V5I
Mathtouch - GTX Plus Basic,001i8000001AkftAAC,1034.0,2017-03-14,Closed Won,GTX Plus Basic,Corliss Cosme,GJ4L5HHN
Vehement Capital Partners - GTX Pro,001i8000001AkgJAAS,4998.0,2017-03-03,Closed Won,GTX Pro,Donn Cantrell,9R8JWY3J
Ontomedia - MG Advanced,001i8000001AkfwAAC,3421.0,2017-03-28,Closed Won,MG Advanced,Donn Cantrell,0EOFVU05
Doncon - GTX Plus Pro,001i8000001AkfOAAS,5425.0,2017-03-04,Closed Won,GTX Plus Pro,Kary Hendrixson,HNHOPL7M
Dalttechnology - MG Special,001i8000001AkfLAAS,55.0,2017-03-15,Closed Won,MG Special,Vicki Laflamme,Y0NYI17R
Silis - MG Advanced,001i8000001Akg7AAC,3558.0,2017-03-14,Closed Won,MG Advanced,Violet Mclelland,R4F4RGAL
Plussunin - GTX Pro,001i8000001Akg0AAC,4821.0,2017-03-10,Negotiation/Review,GTX Pro,Cassey Cress,MNVMY83P
Blackzim - GTX Pro,001i8000001ALqVAAW,4839.0,2017-03-22,Closed Won,GTX Pro,Kami Bicknell,0ZHLQFGU
Hottechi - MG Special,001i8000001AQMaAAO,47.0,2017-03-25,Closed Won,MG Special,Markita Hansen,40DPY158
Fasehatice - GTX Plus Basic,001i8000001AkfSAAS,1007.0,2017-03-24,Closed Won,GTX Plus Basic,Maureen Marcano,DP9E525R
Inity - MG Special,001i8000001AkfiAAC,48.0,2017-03-24,Closed Won,MG Special,Niesha Huffines,DBDUMQQK
Treequote - MG Special,001i8000001AkgHAAS,49.0,2017-03-07,Closed Won,MG Special,Versie Hillebrand,CNBN12RL
Mathtouch - GTX Basic,001i8000001AkftAAC,504.0,2017-03-18,Closed Won,GTX Basic,Violet Mclelland,OXL0YWEE
Finhigh - GTX Basic,001i8000001AkfUAAS,543.0,2017-03-21,Closed Won,GTX Basic,Jonathan Berthelot,5CSSZJF4
Fasehatice - GTX Plus Pro,001i8000001AkfSAAS,0.0,2017-03-18,Closed Lost,GTX Plus Pro,Kary Hendrixson,0XG8TOJF
Fasehatice - GTX Pro,001i8000001AkfSAAS,5149.0,2017-03-28,Closed Won,GTX Pro,Kary Hendrixson,IIS0O91J
Treequote - GTX Basic,001i8000001AkgHAAS,0.0,2017-03-09,Closed Lost,GTX Basic,Lajuana Vencill,2LP5SUR5
Blackzim - GTX Plus Basic,001i8000001ALqVAAW,1043.0,2017-03-11,Closed Won,GTX Plus Basic,Markita Hansen,PYZZ3IS6
Sumace - GTX Plus Pro,001i8000001AkgDAAS,0.0,2017-03-09,Closed Lost,GTX Plus Pro,Cassey Cress,5I4K5TQE
Condax - GTX Basic,001i8000001AkfJAAS,437.0,2017-03-29,Closed Won,GTX Basic,James Ascencio,RV3LPOYP
Kinnamplus - GTX Pro,001i8000001AkfnAAC,4465.0,2017-03-11,Closed Won,GTX Pro,Rosie Papadopoulos,1HVNTEPV
Konex - GTX Basic,001i8000001AkfoAAC,443.0,2017-03-18,Closed Won,GTX Basic,Vicki Laflamme,LC85AQ1I
Sumace - MG Special,001i8000001AkgDAAS,0.0,2017-03-23,Closed Lost,MG Special,Violet Mclelland,TBV972NP
Betatech - GTX Plus Pro,001i8000001ALqSAAW,4278.0,2017-03-20,Closed Won,GTX Plus Pro,Darcel Schlecht,EJMX0EIJ
Kinnamplus - MG Special,001i8000001AkfnAAC,41.0,2017-03-06,Closed Won,MG Special,Garret Kinder,VR9NYBOV
Isdom - GTX Basic,001i8000001AkfjAAC,519.0,2017-03-28,Closed Won,GTX Basic,Jonathan Berthelot,3U25FK08
Kan-code - GTX Basic,001i8000001AkfmAAC,524.0,2017-03-04,Closed Won,GTX Basic,Maureen Marcano,CRLK4Z1P
Singletechno - GTX Basic,001i8000001Akg8AAC,552.0,2017-03-27,Closed Won,GTX Basic,Zane Levy,OGENAT0L
Konmatfix - GTX Plus Basic,001i8000001AkfpAAC,970.0,2017-03-02,Closed Won,GTX Plus Basic,Gladys Colclough,F57JWIDF
