opportunity_id,account,product,deal_stage,forecast_category,engage_date,close_date,close_value,estimated_value,sales_cycle_days,sales_agent,manager,regional_office,sector,office_location,account_revenue_millions,account_employees
EAZDUUM9,Zotware,MG Advanced,Lost,Omitted,2016-11-11,2017-03-01,0.0,0.0,110.0,Rosie Papadopoulos,Cara Losch,East,software,United States,4478.47,13809.0
2STUSOFE,dambase,MG Special,Won,Closed,2016-11-11,2017-03-03,67.0,67.0,112.0,Versie Hillebrand,Dustin Brinkmann,Central,marketing,United States,2173.98,2928.0
JYKM0B00,Xx-holding,GTX Pro,Won,Closed,2016-11-12,2017-03-06,4338.0,4338.0,114.0,James Ascencio,Summer Sewald,West,finance,United States,7537.24,20293.0
KU28360J,Fasehatice,GTX Basic,Won,Closed,2016-11-12,2017-03-19,578.0,578.0,127.0,Kary Hendrixson,Summer Sewald,West,retail,United States,4968.91,7523.0
N4SD17JR,Acme Corporation,GTX Basic,Won,Closed,2016-11-12,2017-03-01,556.0,556.0,109.0,Reed Clapper,Rocco Neubert,East,technology,United States,1100.04,2822.0
E67P9Y3Q,Green-Plus,GTX Basic,Won,Closed,2016-11-12,2017-03-03,635.0,635.0,111.0,Rosalina Dieter,Celia Rouche,West,services,United States,692.19,1922.0
AT3MMVIS,The New York Inquirer,MG Advanced,Won,Closed,2016-11-12,2017-03-07,3045.0,3045.0,115.0,Wilburn Farren,Cara Losch,East,medical,United States,439.21,792.0
REJ11LRY,Mathtouch,GTX Plus Basic,Won,Closed,2016-11-13,2017-03-14,1233.0,1233.0,121.0,Garret Kinder,Cara Losch,East,marketing,Jordan,3027.46,9516.0
ERV0CAZ7,Zumgoity,MG Special,Won,Closed,2016-11-13,2017-03-09,60.0,60.0,116.0,Versie Hillebrand,Dustin Brinkmann,Central,medical,United States,441.08,1210.0
8SOQADK7,Gogozoom,MG Special,Lost,Omitted,2016-11-14,2017-03-30,0.0,0.0,136.0,Anna Snelling,Dustin Brinkmann,Central,telecommunications,United States,86.68,187.0
TCHFT25B,Stanredtax,GTX Basic,Lost,Omitted,2016-11-14,2017-03-08,0.0,0.0,114.0,Darcel Schlecht,Melvin Marxen,Central,finance,United States,1698.2,3798.0
CZVN09WN,Konmatfix,GTX Plus Basic,Won,Closed,2016-11-14,2017-03-20,1170.0,1170.0,126.0,Darcel Schlecht,Melvin Marxen,Central,marketing,United States,375.43,1190.0
EG7OFLFR,,GTX Basic,Engaging,Commit,2016-11-14,,,550.0,,Kami Bicknell,Summer Sewald,West,,,,
30UQWUKB,Genco Pura Olive Oil Company,GTX Plus Basic,Won,Closed,2016-11-15,2017-03-20,1162.0,1162.0,125.0,Marty Freudenburg,Melvin Marxen,Central,retail,Italy,894.33,1635.0
OLVI7L8M,,GTX Pro,Engaging,Commit,2016-11-16,,,4821.0,,Cassey Cress,Rocco Neubert,East,,,,
97UN20YY,Conecom,MG Advanced,Won,Closed,2016-11-16,2017-03-14,3725.0,3725.0,118.0,Darcel Schlecht,Melvin Marxen,Central,technology,United States,1520.66,1806.0
JXLERZ9O,Golddex,GTX Basic,Won,Closed,2016-11-16,2017-03-31,559.0,559.0,135.0,Kary Hendrixson,Summer Sewald,West,finance,United States,52.5,165.0
6ROE69W5,Plexzap,GTX Basic,Lost,Omitted,2016-11-16,2017-03-11,0.0,0.0,115.0,Rosalina Dieter,Celia Rouche,West,retail,United States,2437.85,4874.0
0DFXFKT7,Rundofase,GTX Plus Basic,Lost,Omitted,2016-11-17,2017-03-21,0.0,0.0,124.0,Darcel Schlecht,Melvin Marxen,Central,technology,United States,1008.06,1238.0
XKMZVSN4,Sonron,GTX Plus Pro,Won,Closed,2016-11-17,2017-03-05,4667.0,4667.0,108.0,James Ascencio,Summer Sewald,West,telecommunications,United States,1699.85,5108.0
IU8V0BZK,Finhigh,GTX Plus Basic,Won,Closed,2016-11-17,2017-03-17,903.0,903.0,120.0,Marty Freudenburg,Melvin Marxen,Central,finance,United States,1102.43,1759.0
XY42936P,Finjob,GTX Plus Basic,Won,Closed,2016-11-17,2017-03-13,1180.0,1180.0,116.0,Maureen Marcano,Summer Sewald,West,employment,United States,2059.9,3644.0
XRN54MBM,Ron-tech,GTX Basic,Won,Closed,2016-11-17,2017-03-05,487.0,487.0,108.0,Niesha Huffines,Melvin Marxen,Central,medical,United States,3922.42,6837.0
2V848WZD,Stanredtax,MG Advanced,Won,Closed,2016-11-18,2017-03-04,3180.0,3180.0,106.0,Lajuana Vencill,Dustin Brinkmann,Central,finance,United States,1698.2,3798.0
ONYNTUCG,Funholding,GTX Pro,Lost,Omitted,2016-11-19,2017-03-17,0.0,0.0,118.0,Darcel Schlecht,Melvin Marxen,Central,finance,United States,2819.5,7227.0
HIOHX80Y,Gogozoom,MG Advanced,Won,Closed,2016-11-19,2017-03-18,3563.0,3563.0,119.0,Darcel Schlecht,Melvin Marxen,Central,telecommunications,United States,86.68,187.0
F5U1ACDD,,GTX Plus Basic,Engaging,Commit,2016-11-19,,,1096.0,,Kami Bicknell,Summer Sewald,West,,,,
LPKT07PV,Opentech,GTX Pro,Won,Closed,2016-11-20,2017-03-23,4704.0,4704.0,123.0,Boris Faz,Rocco Neubert,East,finance,United States,355.23,853.0
WPB2SLIG,Silis,GTX Plus Pro,Won,Closed,2016-11-20,2017-03-14,5585.0,5585.0,114.0,Donn Cantrell,Rocco Neubert,East,medical,United States,2818.38,6290.0
XUSUEAV7,Zoomit,GTK 500,Won,Closed,2016-11-20,2017-03-09,25897.0,25897.0,109.0,Elease Gluck,Celia Rouche,West,entertainment,United States,324.19,978.0
ZZY4516R,,MG Advanced,Engaging,Commit,2016-11-20,,,3393.0,,Hayden Neloms,Celia Rouche,West,,,,
3TYPII47,Goodsilron,GTX Plus Basic,Won,Closed,2016-11-20,2017-03-03,1207.0,1207.0,103.0,Kami Bicknell,Summer Sewald,West,marketing,United States,2952.73,5107.0
7WAX8Z8O,Cancity,MG Advanced,Lost,Omitted,2016-11-20,2017-03-08,0.0,0.0,108.0,Lajuana Vencill,Dustin Brinkmann,Central,retail,United States,718.62,2448.0
MYDUMR3R,Rangreen,GTX Basic,Won,Closed,2016-11-20,2017-03-04,559.0,559.0,104.0,Lajuana Vencill,Dustin Brinkmann,Central,technology,Panama,2938.67,8775.0
0DRC1U9Q,Green-Plus,GTX Basic,Engaging,Commit,2016-11-20,,,550.0,,Maureen Marcano,Summer Sewald,West,services,United States,692.19,1922.0
37JFKD4I,dambase,GTX Plus Basic,Won,Closed,2016-11-20,2017-03-09,1033.0,1033.0,109.0,Niesha Huffines,Melvin Marxen,Central,marketing,United States,2173.98,2928.0
25YKPHX8,Kan-code,GTX Basic,Won,Closed,2016-11-21,2017-03-21,462.0,462.0,120.0,Donn Cantrell,Rocco Neubert,East,software,United States,11698.03,34288.0
BXXMA7F3,Nam-zim,MG Advanced,Lost,Omitted,2016-11-21,2017-03-01,0.0,0.0,100.0,Hayden Neloms,Celia Rouche,West,services,Brazil,405.59,1179.0
GIUUTBXM,Y-corporation,GTX Pro,Won,Closed,2016-11-21,2017-03-14,5539.0,5539.0,113.0,Kary Hendrixson,Summer Sewald,West,employment,United States,2871.35,9561.0
MFX2LR1Q,Ron-tech,MG Advanced,Won,Closed,2016-11-21,2017-03-15,3573.0,3573.0,114.0,Lajuana Vencill,Dustin Brinkmann,Central,medical,United States,3922.42,6837.0
DUHE9FLY,Conecom,GTX Pro,Won,Closed,2016-11-21,2017-03-01,4926.0,4926.0,100.0,Marty Freudenburg,Melvin Marxen,Central,technology,United States,1520.66,1806.0
96BSG7R1,Sunnamplex,GTX Plus Basic,Lost,Omitted,2016-11-21,2017-03-17,0.0,0.0,116.0,Zane Levy,Summer Sewald,West,marketing,Poland,894.37,1593.0
7FQMSWIX,Bioplex,MG Special,Won,Closed,2016-11-22,2017-03-04,62.0,62.0,102.0,Corliss Cosme,Cara Losch,East,medical,United States,326.82,1016.0
C20AVXN7,Gogozoom,GTX Pro,Won,Closed,2016-11-22,2017-03-14,4359.0,4359.0,112.0,Darcel Schlecht,Melvin Marxen,Central,telecommunications,United States,86.68,187.0
GS1QVWCR,Plusstrip,GTX Basic,Won,Closed,2016-11-22,2017-03-31,566.0,566.0,129.0,Kami Bicknell,Summer Sewald,West,entertainment,United States,349.81,315.0
ZWH8FXY3,Toughzap,GTX Basic,Won,Closed,2016-11-22,2017-03-03,508.0,508.0,101.0,Marty Freudenburg,Melvin Marxen,Central,retail,United States,332.43,799.0
2U94Y3Q9,Vehement Capital Partners,MG Advanced,Lost,Omitted,2016-11-22,2017-03-20,0.0,0.0,118.0,Rosie Papadopoulos,Cara Losch,East,finance,United States,646.1,883.0
AAR79NOO,Codehow,MG Special,Won,Closed,2016-11-22,2017-03-11,51.0,51.0,109.0,Versie Hillebrand,Dustin Brinkmann,Central,software,United States,2714.9,2641.0
B6B0PNR2,Dalttechnology,GTX Pro,Won,Closed,2016-11-22,2017-03-05,4899.0,4899.0,103.0,Vicki Laflamme,Celia Rouche,West,software,United States,98.79,96.0
M7I5O9YU,Cheers,GTX Basic,Engaging,Commit,2016-11-23,,,550.0,,Corliss Cosme,Cara Losch,East,entertainment,United States,4269.9,6472.0
LXZA2OSZ,Ontomedia,GTX Plus Pro,Won,Closed,2016-11-23,2017-03-03,5790.0,5790.0,100.0,Corliss Cosme,Cara Losch,East,employment,United States,882.12,2769.0
N0ONCYVZ,Kinnamplus,MG Special,Lost,Omitted,2016-11-23,2017-03-30,0.0,0.0,127.0,Donn Cantrell,Rocco Neubert,East,retail,United States,702.72,1831.0
GYB4W2AU,,MG Advanced,Engaging,Commit,2016-11-23,,,3393.0,,Elease Gluck,Celia Rouche,West,,,,
513DPFX5,Codehow,GTX Pro,Won,Closed,2016-11-23,2017-03-03,4438.0,4438.0,100.0,Gladys Colclough,Melvin Marxen,Central,software,United States,2714.9,2641.0
RU023K5W,Finhigh,MG Advanced,Won,Closed,2016-11-23,2017-03-17,2972.0,2972.0,114.0,Gladys Colclough,Melvin Marxen,Central,finance,United States,1102.43,1759.0
QCNOCX0P,,GTX Pro,Engaging,Commit,2017-04-07,,,4821.0,,Boris Faz,Rocco Neubert,East,,,,
VDIU10RV,Lexiqvolax,MG Special,Engaging,Commit,2016-11-23,,,55.0,,Markita Hansen,Celia Rouche,West,medical,United States,1618.89,3889.0
BZCBQ514,Y-corporation,GTX Basic,Won,Closed,2016-11-23,2017-03-01,523.0,523.0,98.0,Markita Hansen,Celia Rouche,West,employment,United States,2871.35,9561.0
HEE6P0QH,Statholdings,MG Advanced,Won,Closed,2016-11-24,2017-03-25,3647.0,3647.0,121.0,Anna Snelling,Dustin Brinkmann,Central,employment,United States,291.27,586.0
L8CHRJ2B,Umbrella Corporation,MG Advanced,Won,Closed,2016-11-24,2017-03-01,4200.0,4200.0,97.0,Cassey Cress,Rocco Neubert,East,finance,United States,2022.14,5113.0
579LZ3F9,J-Texon,GTX Plus Basic,Engaging,Commit,2016-11-24,,,1096.0,,Daniell Hammack,Rocco Neubert,East,retail,United States,1388.67,3583.0
SU8JNMP4,Bubba Gump,GTX Plus Basic,Engaging,Commit,2016-11-24,,,1096.0,,Kami Bicknell,Summer Sewald,West,software,United States,987.39,2253.0
V2X2KMUR,Faxquote,GTX Plus Basic,Won,Closed,2016-11-24,2017-03-28,1059.0,1059.0,124.0,Kami Bicknell,Summer Sewald,West,telecommunications,United States,1825.82,5595.0
AJIPJP75,Codehow,GTX Plus Basic,Lost,Omitted,2016-11-24,2017-03-05,0.0,0.0,101.0,Marty Freudenburg,Melvin Marxen,Central,software,United States,2714.9,2641.0
NYVA2G6U,Dontechi,MG Special,Won,Closed,2016-11-24,2017-03-02,57.0,57.0,98.0,Versie Hillebrand,Dustin Brinkmann,Central,software,United States,4618.0,10083.0
FF45BXTL,Konex,MG Advanced,Won,Closed,2016-11-24,2017-03-27,3671.0,3671.0,123.0,Vicki Laflamme,Celia Rouche,West,technology,United States,7708.38,13756.0
TTA9LYBS,Treequote,MG Special,Won,Closed,2016-11-25,2017-03-01,58.0,58.0,96.0,Anna Snelling,Dustin Brinkmann,Central,telecommunications,United States,5266.09,8595.0
PAGZQH8L,Treequote,MG Advanced,Won,Closed,2016-11-25,2017-03-06,3956.0,3956.0,101.0,Cecily Lampkin,Dustin Brinkmann,Central,telecommunications,United States,5266.09,8595.0
J7YF6DS7,Betasoloin,GTX Plus Pro,Won,Closed,2016-11-25,2017-03-01,5964.0,5964.0,96.0,Corliss Cosme,Cara Losch,East,medical,United States,251.41,495.0
S5IXY4Z9,Betasoloin,GTX Pro,Won,Closed,2016-11-25,2017-03-06,4570.0,4570.0,101.0,Corliss Cosme,Cara Losch,East,medical,United States,251.41,495.0
JQBJMETQ,Domzoom,MG Special,Won,Closed,2016-11-25,2017-03-27,49.0,49.0,122.0,Darcel Schlecht,Melvin Marxen,Central,entertainment,United States,217.87,551.0
0LVWSWEW,Donquadtech,MG Special,Won,Closed,2016-11-25,2017-03-06,65.0,65.0,101.0,Violet Mclelland,Cara Losch,East,technology,United States,1712.68,3194.0
K53BC1T9,Domzoom,MG Special,Lost,Omitted,2016-11-26,2017-03-27,0.0,0.0,121.0,Anna Snelling,Dustin Brinkmann,Central,entertainment,United States,217.87,551.0
D40N5I9Y,Finhigh,GTX Pro,Won,Closed,2016-11-26,2017-03-08,4739.0,4739.0,102.0,Darcel Schlecht,Melvin Marxen,Central,finance,United States,1102.43,1759.0
051QTX8Z,Globex Corporation,GTX Plus Basic,Won,Closed,2016-11-26,2017-03-21,1080.0,1080.0,115.0,Niesha Huffines,Melvin Marxen,Central,technology,Norway,1223.72,2497.0
5D2XH04S,Plussunin,MG Special,Won,Closed,2016-11-26,2017-03-12,57.0,57.0,106.0,Reed Clapper,Rocco Neubert,East,retail,United States,1419.98,4018.0
V9E582SK,Konex,GTX Basic,Won,Closed,2016-11-27,2017-03-16,469.0,469.0,109.0,Garret Kinder,Cara Losch,East,technology,United States,7708.38,13756.0
UK0LEZRJ,Condax,GTX Basic,Won,Closed,2016-11-27,2017-03-03,532.0,532.0,96.0,Kary Hendrixson,Summer Sewald,West,medical,United States,4.54,9.0
PFFHM7HR,Opentech,MG Advanced,Engaging,Commit,2016-11-27,,,3393.0,,Markita Hansen,Celia Rouche,West,finance,United States,355.23,853.0
IT10CFQH,Konex,GTX Basic,Won,Closed,2016-11-27,2017-03-26,538.0,538.0,119.0,Rosalina Dieter,Celia Rouche,West,technology,United States,7708.38,13756.0
8VKD2CCH,Massive Dynamic,GTX Pro,Won,Closed,2016-11-27,2017-03-21,4829.0,4829.0,114.0,Rosie Papadopoulos,Cara Losch,East,entertainment,United States,665.06,1095.0
2XQAKBXH,Doncon,GTX Plus Pro,Won,Closed,2016-11-27,2017-03-11,5370.0,5370.0,104.0,Zane Levy,Summer Sewald,West,technology,United States,587.72,1501.0
7G7YLGJO,Hatfan,GTX Plus Pro,Won,Closed,2016-11-27,2017-03-21,6499.0,6499.0,114.0,Zane Levy,Summer Sewald,West,services,United States,792.46,1299.0
GCA97W27,Genco Pura Olive Oil Company,GTX Plus Basic,Won,Closed,2016-11-28,2017-03-06,1161.0,1161.0,98.0,Darcel Schlecht,Melvin Marxen,Central,retail,Italy,894.33,1635.0
K8FUZHOG,Scotfind,GTX Basic,Won,Closed,2016-11-28,2017-03-26,576.0,576.0,118.0,Kary Hendrixson,Summer Sewald,West,software,United States,6354.87,16780.0
5WJZMULK,Hatfan,GTX Plus Basic,Won,Closed,2016-11-28,2017-03-19,979.0,979.0,111.0,Maureen Marcano,Summer Sewald,West,services,United States,792.46,1299.0
ZPYD4T9W,Stanredtax,MG Special,Won,Closed,2016-11-28,2017-03-07,43.0,43.0,99.0,Versie Hillebrand,Dustin Brinkmann,Central,finance,United States,1698.2,3798.0
KE9ZEDS8,Scottech,MG Special,Won,Closed,2016-11-29,2017-03-07,57.0,57.0,98.0,Gladys Colclough,Melvin Marxen,Central,marketing,United States,45.39,100.0
7KK0HQ4C,Ron-tech,MG Special,Lost,Omitted,2016-11-29,2017-03-28,0.0,0.0,119.0,Lajuana Vencill,Dustin Brinkmann,Central,medical,United States,3922.42,6837.0
FP7014Z0,Funholding,GTX Plus Basic,Won,Closed,2016-11-29,2017-03-12,948.0,948.0,103.0,Lajuana Vencill,Dustin Brinkmann,Central,finance,United States,2819.5,7227.0
N4HFHDMW,Plussunin,MG Advanced,Won,Closed,2016-11-29,2017-03-10,3012.0,3012.0,101.0,Wilburn Farren,Cara Losch,East,retail,United States,1419.98,4018.0
2HFLKREC,Zotware,MG Advanced,Won,Closed,2016-11-30,2017-03-15,3665.0,3665.0,105.0,Cassey Cress,Rocco Neubert,East,software,United States,4478.47,13809.0
7JVTTVCO,Gekko & Co,GTX Basic,Won,Closed,2016-11-30,2017-03-24,564.0,564.0,114.0,Violet Mclelland,Cara Losch,East,retail,United States,2520.83,3502.0
3X13866U,dambase,GTX Plus Basic,Lost,Omitted,2016-12-01,2017-03-06,0.0,0.0,95.0,Anna Snelling,Dustin Brinkmann,Central,marketing,United States,2173.98,2928.0
7LE19SYE,Initech,MG Advanced,Won,Closed,2016-12-01,2017-03-22,3463.0,3463.0,111.0,Cassey Cress,Rocco Neubert,East,telecommunications,United States,6395.05,20275.0
J5V2M7Y1,Gekko & Co,GTX Basic,Won,Closed,2016-12-01,2017-03-26,513.0,513.0,115.0,Corliss Cosme,Cara Losch,East,retail,United States,2520.83,3502.0
41MURAI5,Konex,GTX Basic,Won,Closed,2016-12-01,2017-03-28,590.0,590.0,117.0,Corliss Cosme,Cara Losch,East,technology,United States,7708.38,13756.0
QHI8WRIA,Dontechi,GTX Pro,Won,Closed,2016-12-01,2017-03-30,4511.0,4511.0,119.0,Darcel Schlecht,Melvin Marxen,Central,software,United States,4618.0,10083.0
AJXAXV4W,Finhigh,MG Advanced,Lost,Omitted,2016-12-01,2017-03-02,0.0,0.0,91.0,Lajuana Vencill,Dustin Brinkmann,Central,finance,United States,1102.43,1759.0
VPDXX5PJ,Cancity,GTX Basic,Won,Closed,2016-12-01,2017-03-26,546.0,546.0,115.0,Niesha Huffines,Melvin Marxen,Central,retail,United States,718.62,2448.0
PZB9NUK8,Y-corporation,MG Special,Won,Closed,2016-12-01,2017-03-05,46.0,46.0,94.0,Vicki Laflamme,Celia Rouche,West,employment,United States,2871.35,9561.0
A0ANOYPF,Ron-tech,GTX Pro,Won,Closed,2016-12-02,2017-03-09,4891.0,4891.0,97.0,Darcel Schlecht,Melvin Marxen,Central,medical,United States,3922.42,6837.0
0P4AAPYX,Golddex,GTX Plus Basic,Won,Closed,2016-12-02,2017-03-03,1040.0,1040.0,91.0,Hayden Neloms,Celia Rouche,West,finance,United States,52.5,165.0
O6T5WC3W,Sonron,GTX Plus Basic,Won,Closed,2016-12-02,2017-03-04,1108.0,1108.0,92.0,Hayden Neloms,Celia Rouche,West,telecommunications,United States,1699.85,5108.0
0NO04P6C,Nam-zim,MG Special,Won,Closed,2016-12-02,2017-03-04,59.0,59.0,92.0,Hayden Neloms,Celia Rouche,West,services,Brazil,405.59,1179.0
22OFSXBT,Statholdings,GTX Pro,Won,Closed,2016-12-02,2017-03-30,5406.0,5406.0,118.0,Jonathan Berthelot,Melvin Marxen,Central,employment,United States,291.27,586.0
MRXZTMM6,Cheers,GTX Basic,Won,Closed,2016-12-02,2017-03-20,515.0,515.0,108.0,Kary Hendrixson,Summer Sewald,West,entertainment,United States,4269.9,6472.0
LGI8QEC2,Treequote,GTX Basic,Won,Closed,2016-12-02,2017-03-06,583.0,583.0,94.0,Moses Frase,Dustin Brinkmann,Central,telecommunications,United States,5266.09,8595.0
6KZ0NCFX,Funholding,MG Special,Won,Closed,2016-12-02,2017-03-14,54.0,54.0,102.0,Versie Hillebrand,Dustin Brinkmann,Central,finance,United States,2819.5,7227.0
3SF8O9S6,Plusstrip,MG Special,Won,Closed,2016-12-02,2017-03-27,60.0,60.0,115.0,Vicki Laflamme,Celia Rouche,West,entertainment,United States,349.81,315.0
CNM0H9FR,,GTX Basic,Engaging,Commit,2016-12-02,,,550.0,,Zane Levy,Summer Sewald,West,,,,
XK668R7C,Dontechi,GTX Basic,Lost,Omitted,2016-12-03,2017-03-12,0.0,0.0,99.0,Darcel Schlecht,Melvin Marxen,Central,software,United States,4618.0,10083.0
TZCAQWL3,Funholding,GTX Pro,Lost,Omitted,2016-12-03,2017-03-19,0.0,0.0,106.0,Darcel Schlecht,Melvin Marxen,Central,finance,United States,2819.5,7227.0
BADC6A9H,Globex Corporation,GTX Basic,Won,Closed,2016-12-03,2017-03-23,516.0,516.0,110.0,Darcel Schlecht,Melvin Marxen,Central,technology,Norway,1223.72,2497.0
B8E0UUZR,Rangreen,GTX Pro,Won,Closed,2016-12-03,2017-03-22,4829.0,4829.0,109.0,Darcel Schlecht,Melvin Marxen,Central,technology,Panama,2938.67,8775.0
I043RXJV,Dontechi,GTX Plus Basic,Lost,Omitted,2016-12-03,2017-03-17,0.0,0.0,104.0,Moses Frase,Dustin Brinkmann,Central,software,United States,4618.0,10083.0
MWWB44CC,Donquadtech,GTX Plus Basic,Won,Closed,2016-12-03,2017-03-02,950.0,950.0,89.0,Reed Clapper,Rocco Neubert,East,technology,United States,1712.68,3194.0
HBTINPDG,Xx-holding,GTX Plus Basic,Lost,Omitted,2016-12-03,2017-03-09,0.0,0.0,96.0,Vicki Laflamme,Celia Rouche,West,finance,United States,7537.24,20293.0
DZ3KHZSX,Initech,GTX Basic,Won,Closed,2016-12-04,2017-03-20,513.0,513.0,106.0,Corliss Cosme,Cara Losch,East,telecommunications,United States,6395.05,20275.0
3W1K7X5F,Condax,GTX Pro,Lost,Omitted,2016-12-04,2017-03-09,0.0,0.0,95.0,Darcel Schlecht,Melvin Marxen,Central,medical,United States,4.54,9.0
45A57X68,Ron-tech,GTX Plus Pro,Won,Closed,2016-12-04,2017-03-12,5522.0,5522.0,98.0,Darcel Schlecht,Melvin Marxen,Central,medical,United States,3922.42,6837.0
9SLYC4TR,Cancity,MG Special,Won,Closed,2016-12-04,2017-03-09,56.0,56.0,95.0,Gladys Colclough,Melvin Marxen,Central,retail,United States,718.62,2448.0
